Id,Neighborhood,Total_sqr_footage,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,LotFrontage,PoolArea,SalePrice,Street,BldgType,FullBath,HalfBath,BsmtFullBath
293,Edwards,2484,5,4,1949,1716,1,60,0,131000,Pave,1Fam,1,1,0
294,NWAmes,3058,7,7,1977,2263,2,,0,235000,Pave,1Fam,2,1,1
295,NAmes,3060,6,5,1953,1644,2,80,0,167000,Pave,1Fam,1,0,1
296,Mitchel,2006,6,6,1984,1003,2,37,0,142500,Pave,1Fam,1,0,1
297,IDOTRR,2468,5,5,1950,1558,1,75,0,152000,Pave,1Fam,1,1,0
298,Somerst,2925,7,5,1997,1950,2,66,0,239000,Pave,1Fam,2,1,0
299,NWAmes,2445,6,6,1968,1743,2,90,0,175000,Pave,1Fam,1,2,0
300,Crawfor,2244,6,8,1950,1152,1,80,0,158500,Pave,1Fam,1,0,0
301,Crawfor,2501,5,5,1953,1336,1,90,0,157000,Pave,2fmCon,1,0,1
302,CollgCr,3480,8,5,1998,2452,2,66,0,267000,Pave,1Fam,2,1,0
303,CollgCr,3082,7,5,2001,1541,3,118,0,205000,Pave,1Fam,2,0,0
304,CollgCr,1788,5,7,1972,894,2,70,0,149900,Pave,1Fam,1,0,1
305,OldTown,4963,7,9,1880,3493,3,87,0,295000,Pave,1Fam,3,0,0
306,CollgCr,4000,8,5,2004,2000,3,80,0,305900,Pave,1Fam,2,0,1
307,SawyerW,2943,7,5,1990,2243,3,116,0,225000,Pave,1Fam,2,1,1
308,IDOTRR,1725,6,7,1920,1406,0,,0,89500,Pave,1Fam,1,0,0
309,Edwards,1722,4,5,1940,861,2,,0,82500,Pave,1Fam,1,0,0
310,NridgHt,3840,9,5,2003,1944,3,90,0,360000,Pave,1Fam,2,0,1
311,Gilbert,2198,6,5,1993,1501,2,,0,165600,Pave,1Fam,2,1,0
312,NAmes,1944,6,6,1948,972,1,50,0,132000,Pave,1Fam,1,0,1
313,OldTown,1911,5,7,1939,1118,2,65,0,119900,Pave,2fmCon,1,0,1
314,Timber,4172,7,5,1965,2036,2,150,0,375000,Pave,1Fam,2,0,2
315,OldTown,2369,7,7,1925,1641,2,60,0,178000,Pave,1Fam,1,1,0
316,Gilbert,2148,7,5,2004,1432,2,71,0,188500,Pave,1Fam,2,1,1
317,NWAmes,3198,7,7,1980,2353,2,94,0,260000,Pave,1Fam,2,1,1
318,Somerst,3047,8,5,2006,1959,3,75,0,270000,Pave,1Fam,2,1,0
319,NoRidge,3993,7,5,1993,2646,3,90,0,260000,Pave,1Fam,2,1,1
320,NWAmes,2844,7,5,1980,1472,2,,0,187500,Pave,1Fam,2,0,1
321,NridgHt,3845,9,5,2006,2596,3,111,0,342643,Pave,1Fam,3,1,0
322,NridgHt,3604,8,5,2004,2468,3,99,0,354000,Pave,1Fam,2,1,1
323,SawyerW,4232,7,5,1986,2730,2,86,0,301000,Pave,1Fam,2,1,1
324,OldTown,2325,3,8,1955,1163,1,49,0,126175,Pave,1Fam,1,0,1
325,NAmes,3688,7,7,1967,2978,2,96,0,242000,Pave,1Fam,2,1,0
326,IDOTRR,1523,5,6,1941,803,2,50,0,87000,Pave,1Fam,1,0,0
327,Veenker,3438,8,5,1993,1719,2,32,0,324000,Pave,TwnhsE,1,1,2
328,NAmes,2766,6,5,1960,1383,1,80,0,145250,Pave,1Fam,1,1,0
329,BrkSide,2978,6,6,1916,2134,2,,0,214500,Pave,1Fam,2,0,0
330,IDOTRR,1788,5,5,1920,1192,1,60,0,78000,Pave,1Fam,1,0,0
331,NAmes,3456,5,4,1964,1728,1,,0,119000,Pave,Duplex,2,0,0
332,NAmes,2112,5,6,1958,1056,1,70,0,139000,Pave,1Fam,1,0,1
333,NridgHt,4835,8,5,2003,1629,3,85,0,284000,Pave,1Fam,2,0,1
334,NridgHt,2716,7,5,2004,1358,2,59,0,207000,Pave,TwnhsE,2,0,1
335,Gilbert,2581,6,5,1998,1638,2,59,0,192000,Pave,1Fam,2,1,1
336,Timber,3285,5,6,1965,1786,2,,0,228950,Grvl,2fmCon,2,0,2
337,StoneBr,3844,9,5,2005,1922,3,86,0,377426,Pave,1Fam,2,0,1
338,CollgCr,3072,7,5,2002,1536,2,70,0,214000,Pave,1Fam,2,0,1
339,NWAmes,2829,7,7,1984,1621,2,91,0,202500,Pave,1Fam,2,0,1
340,NAmes,2430,6,7,1958,1215,1,66,0,155000,Pave,1Fam,1,0,0
341,Timber,2875,8,5,2002,1908,2,85,0,202900,Pave,1Fam,2,1,0
342,SawyerW,1562,4,4,1950,841,1,60,0,82000,Pave,1Fam,1,0,0
343,NAmes,1040,3,4,1949,1040,2,,0,87500,Pave,Duplex,2,0,0
344,NridgHt,3368,9,5,2005,1684,2,63,0,266000,Pave,TwnhsE,2,0,0
345,MeadowV,1648,5,3,1976,1112,1,36,0,85000,Pave,TwnhsE,1,1,0
346,BrkSide,2549,6,5,1939,1577,1,65,0,140200,Pave,1Fam,1,0,0
347,NAmes,1916,6,8,1960,958,1,,0,151500,Pave,1Fam,1,0,0
348,NAmes,2956,6,5,1960,1478,2,,0,157500,Pave,1Fam,2,0,1
349,NridgHt,2390,7,5,2003,1626,2,36,0,154000,Pave,Twnhs,2,1,1
350,NridgHt,4576,9,5,2005,2728,3,56,0,437154,Pave,1Fam,2,1,1
351,NridgHt,3738,9,5,2007,1869,2,68,0,318061,Pave,TwnhsE,2,0,0
352,ClearCr,2906,7,5,1986,1453,2,,0,190000,Pave,1Fam,1,1,1
353,Edwards,1727,5,6,1941,1111,1,60,0,95000,Pave,1Fam,1,0,0
354,OldTown,1344,6,8,1928,720,2,60,0,105900,Pave,1Fam,1,0,0
355,SWISU,2535,6,5,1940,1595,1,60,0,140000,Pave,1Fam,1,0,0
356,CollgCr,2400,6,5,1995,1200,2,105,0,177500,Pave,1Fam,2,0,1
357,Gilbert,2325,6,6,1992,1167,2,,0,173000,Pave,1Fam,2,0,1
358,MeadowV,2284,5,5,1976,1142,2,44,0,134000,Pave,TwnhsE,1,1,1
359,ClearCr,2414,5,4,1958,1352,1,92,0,130000,Pave,1Fam,1,0,0
360,NoRidge,3010,8,5,1998,1924,2,78,0,280000,Pave,1Fam,2,1,1
361,Mitchel,1800,6,6,1978,912,2,,0,156000,Pave,1Fam,1,0,1
362,BrkSide,2388,5,5,1940,1505,1,,0,145000,Pave,1Fam,1,0,1
363,Edwards,1922,7,5,2003,1922,2,64,0,198500,Pave,1Fam,3,0,0
364,BrDale,1470,6,8,1972,987,1,21,0,118000,Pave,Twnhs,1,1,0
365,NWAmes,2370,6,5,1976,1574,2,,0,190000,Pave,1Fam,2,1,1
366,IDOTRR,2016,5,7,1920,1344,1,59,0,147000,Pave,1Fam,1,0,0
367,NAmes,2788,6,5,1963,1394,2,,0,159000,Pave,1Fam,1,1,1
368,NAmes,2530,6,5,1962,1431,1,101,0,165000,Pave,1Fam,1,0,0
369,NAmes,2536,5,6,1954,1268,1,78,0,132000,Pave,1Fam,1,0,0
370,NAmes,2350,5,7,1959,1287,2,,0,162000,Pave,1Fam,1,0,1
371,Gilbert,2617,6,5,2000,1664,2,,0,172400,Pave,1Fam,2,1,0
372,ClearCr,1588,4,4,1959,1588,2,80,0,134432,Pave,1Fam,2,0,0
373,SawyerW,1496,6,5,1984,752,1,50,0,125000,Pave,TwnhsE,1,0,1
374,NAmes,1927,5,6,1953,1319,1,79,0,123000,Pave,1Fam,1,0,1
375,CollgCr,2775,7,5,2003,1928,2,65,0,219500,Pave,1Fam,2,1,0
376,Edwards,1587,1,1,1922,904,0,,0,61000,Pave,1Fam,0,1,1
377,CollgCr,1784,5,5,1996,914,2,57,0,148000,Pave,1Fam,1,0,0
378,Somerst,4046,8,5,2004,2466,2,102,0,340000,Pave,1Fam,3,0,0
379,StoneBr,3712,9,2,2010,1856,3,88,0,394432,Pave,1Fam,1,1,1
380,Gilbert,2782,6,5,2000,1800,2,60,0,179000,Pave,1Fam,2,1,0
381,SWISU,2717,5,6,1924,1691,1,50,0,127000,Pave,1Fam,2,0,0
382,Somerst,2594,7,5,2006,1301,2,60,0,187750,Pave,1Fam,2,0,1
383,CollgCr,2736,7,5,2006,1797,2,79,0,213500,Pave,1Fam,2,1,0
384,SawyerW,1568,6,3,1928,784,2,60,0,76000,Pave,1Fam,1,0,0
385,ClearCr,3533,6,5,1992,1953,2,,0,240000,Pave,1Fam,2,1,1
386,Blmngtn,2525,8,5,2004,1269,2,43,0,192000,Pave,TwnhsE,2,0,0
387,Edwards,1842,5,3,1910,1184,0,58,0,81000,Pave,1Fam,1,0,0
388,Edwards,2166,6,6,1976,1125,1,72,0,125000,Pave,1Fam,1,0,1
389,CollgCr,2947,7,5,1999,1479,2,93,0,191000,Pave,1Fam,2,0,0
390,NridgHt,4014,10,5,2007,2332,3,96,0,426000,Pave,1Fam,2,1,1
391,Edwards,2228,5,8,1900,1367,1,50,0,119000,Pave,1Fam,1,0,1
392,Mitchel,2765,6,5,2001,1961,2,71,0,215000,Pave,1Fam,2,1,1
393,NAmes,882,5,7,1959,882,1,,0,106500,Pave,1Fam,1,0,0
394,BrkSide,1576,4,5,1941,788,0,,0,100000,Pave,1Fam,1,0,0
395,OldTown,1769,5,6,1940,1034,1,60,0,109000,Pave,1Fam,1,0,0
396,Edwards,2288,5,6,1956,1144,1,68,0,129000,Pave,1Fam,1,0,1
397,CollgCr,1788,5,5,1972,894,2,60,0,123000,Pave,1Fam,1,0,0
398,NAmes,2676,5,5,1962,1812,1,69,0,169500,Pave,1Fam,2,0,0
399,IDOTRR,2038,5,2,1920,1077,1,60,0,67000,Pave,1Fam,1,0,0
400,Somerst,2642,7,5,2006,1550,2,65,0,241000,Pave,1Fam,2,0,1
401,Veenker,2548,8,5,1996,1288,2,38,0,245500,Pave,TwnhsE,1,1,1
402,CollgCr,2620,7,5,2005,1310,2,65,0,164990,Pave,1Fam,2,0,0
403,Sawyer,1344,5,8,1940,672,1,60,0,108000,Pave,1Fam,1,0,0
404,NoRidge,3404,8,5,1998,2263,2,93,0,258000,Pave,1Fam,2,1,0
405,Gilbert,2378,6,5,1995,1572,2,,0,168000,Pave,1Fam,2,1,0
406,Sawyer,2901,4,4,1976,1620,2,,0,150000,Pave,1Fam,2,0,1
407,SWISU,2230,6,5,1936,1639,1,51,0,115000,Pave,1Fam,1,0,0
408,Crawfor,2520,6,7,1915,1680,1,63,0,177000,Pave,1Fam,2,0,0
409,NridgHt,3235,7,5,2006,2172,3,109,0,280000,Pave,1Fam,2,1,0
410,Somerst,3112,8,5,2007,2078,3,85,0,339750,Pave,1Fam,2,1,1
411,Edwards,2552,5,3,1958,1276,1,68,0,60000,Pave,1Fam,1,0,0
412,Gilbert,2112,5,5,1955,1056,2,100,0,145000,Pave,2fmCon,1,0,1
413,Somerst,2948,7,5,2009,1478,2,,0,222000,Pave,1Fam,2,1,1
414,OldTown,2036,5,6,1927,1028,2,56,0,115000,Pave,1Fam,1,0,0
415,SawyerW,3177,7,5,1993,2097,3,59,0,228000,Pave,1Fam,2,1,0
416,Gilbert,2680,7,5,2007,1340,2,73,0,181134,Pave,1Fam,2,0,0
417,Sawyer,2072,6,7,1978,1400,2,74,0,149500,Pave,1Fam,1,1,0
418,Crawfor,3994,6,6,1918,2624,3,86,0,239000,Pave,1Fam,2,1,1
419,Edwards,1890,5,6,1940,1134,1,60,0,126000,Pave,1Fam,1,1,1
420,NAmes,2112,5,6,1968,1056,1,65,0,142000,Pave,1Fam,1,0,1
421,Mitchel,2688,7,5,1997,1344,4,78,0,206300,Pave,Duplex,2,0,2
422,NWAmes,3204,6,7,1977,1602,2,,0,215000,Pave,1Fam,2,0,0
423,Mitchel,1976,5,5,1954,988,2,100,0,113000,Pave,1Fam,1,0,0
424,NoRidge,4100,8,5,1998,2630,3,80,0,315000,Pave,1Fam,2,1,1
425,NAmes,2392,6,5,1956,1196,1,72,0,139000,Pave,1Fam,1,0,1
426,OldTown,2040,7,8,1946,1389,1,60,0,135000,Pave,1Fam,1,1,0
427,SawyerW,3162,7,5,1989,1644,2,,0,275000,Pave,1Fam,2,0,1
428,NAmes,1814,4,6,1957,907,1,77,0,109008,Pave,1Fam,1,0,0
429,CollgCr,2416,7,5,2007,1208,2,64,0,195400,Pave,1Fam,2,0,1
430,Timber,2804,6,5,1988,1412,2,130,0,175000,Pave,1Fam,2,0,1
431,BrDale,1470,6,5,1971,987,1,21,0,85400,Pave,Twnhs,1,1,0
432,OldTown,2099,6,7,1920,1198,0,60,0,79900,Pave,1Fam,1,0,0
433,BrDale,2130,5,5,1971,1365,2,24,0,122500,Pave,TwnhsE,1,1,1
434,Gilbert,2530,6,5,1997,1604,2,100,0,181000,Pave,1Fam,2,1,0
435,MeadowV,1260,4,7,1972,630,0,21,0,81000,Pave,Twnhs,1,0,1
436,CollgCr,2460,7,6,1996,1661,2,43,0,212000,Pave,1Fam,2,1,1
437,OldTown,1766,6,8,1920,1118,2,40,0,116000,Pave,1Fam,1,0,0
438,BrkSide,1788,6,7,1926,904,1,50,0,119000,Pave,1Fam,1,0,0
439,Crawfor,1134,5,6,1913,694,1,40,0,90350,Pave,1Fam,1,0,0
440,Edwards,1880,6,8,1920,1196,2,67,0,110000,Pave,1Fam,1,0,0
441,NridgHt,5496,10,5,2008,2402,3,105,0,555000,Pave,1Fam,2,0,1
442,Edwards,2880,4,4,1955,1440,0,92,0,118000,Pave,Duplex,2,0,0
443,BrkSide,2651,5,7,1930,1573,2,52,0,162900,Pave,1Fam,2,0,0
444,Blmngtn,2516,7,5,2006,1258,3,53,0,172500,Pave,TwnhsE,2,0,0
445,CollgCr,2823,7,5,1994,1908,2,70,0,210000,Pave,1Fam,2,1,1
446,Edwards,3125,6,5,1956,1689,2,73,0,127500,Pave,1Fam,1,0,0
447,NAmes,3405,6,6,1966,1888,2,137,0,190000,Pave,1Fam,2,1,0
448,Gilbert,2816,7,5,1998,1886,2,,0,199900,Pave,1Fam,2,1,0
449,IDOTRR,2156,6,6,1937,1376,1,50,0,119500,Pave,1Fam,2,0,0
450,OldTown,1832,3,7,1948,1183,1,50,0,120000,Pave,1Fam,1,1,0
451,OldTown,1626,6,8,1930,813,1,70,0,110000,Pave,1Fam,1,0,0
452,ClearCr,3066,7,5,1975,1533,2,62,0,280000,Pave,1Fam,2,0,1
453,Timber,2628,6,5,1996,1756,2,,0,204000,Pave,1Fam,2,1,1
454,Somerst,2358,8,5,2008,1590,2,75,0,210000,Pave,1Fam,2,1,0
455,Mitchel,3456,5,5,1976,1728,2,63,0,188000,Pave,Duplex,2,0,2
456,NWAmes,2484,7,6,1973,1242,2,80,0,175500,Pave,1Fam,1,1,0
457,OldTown,1968,5,5,1916,1344,3,34,0,98000,Pave,1Fam,1,0,0
458,ClearCr,3027,4,6,1954,1663,2,,0,256000,Pave,1Fam,1,0,1
459,OldTown,2254,8,7,1925,1666,1,,0,161000,Pave,1Fam,1,0,0
460,BrkSide,1912,5,4,1950,1203,1,,0,110000,Pave,1Fam,1,0,1
461,Somerst,2767,8,5,2009,1935,2,75,0,263435,Pave,1Fam,2,1,1
462,SWISU,1695,7,9,1936,1135,2,60,0,155000,Pave,1Fam,1,0,1
463,Sawyer,1728,5,5,1965,864,1,60,0,62383,Pave,1Fam,1,0,0
464,Crawfor,2375,6,7,1934,1660,1,74,0,188700,Pave,1Fam,1,1,0
465,CollgCr,2080,5,5,1978,1040,0,60,0,124000,Pave,1Fam,2,0,0
466,Blmngtn,2789,7,5,2004,1414,2,,0,178740,Pave,TwnhsE,2,0,0
467,NAmes,2554,7,5,1970,1277,2,85,0,167000,Pave,1Fam,1,0,1
468,NAmes,2372,5,7,1942,1644,1,79,0,146500,Pave,1Fam,1,1,0
469,NridgHt,3260,8,5,2006,1634,3,98,0,250000,Pave,1Fam,2,0,0
470,SawyerW,2542,6,5,1993,1710,2,76,0,187000,Pave,1Fam,2,1,0
471,StoneBr,2990,8,5,1985,1502,2,,0,212000,Pave,TwnhsE,1,1,1
472,NWAmes,2777,7,6,1977,1969,2,92,0,190000,Pave,1Fam,2,1,0
473,Edwards,1619,6,5,2005,1072,2,35,0,148000,Pave,TwnhsE,1,0,1
474,NridgHt,3952,8,5,2006,1976,3,110,0,440000,Pave,1Fam,2,0,1
475,StoneBr,3146,8,5,2000,1652,2,41,0,251000,Pave,TwnhsE,2,0,1
476,Sawyer,1940,5,6,1963,970,2,80,0,132500,Pave,1Fam,1,0,1
477,CollgCr,2971,6,5,1997,1493,2,75,0,208900,Pave,1Fam,2,0,1
478,NridgHt,4796,9,5,2006,2643,3,105,0,380000,Pave,1Fam,2,1,0
479,CollgCr,3423,8,5,2007,1718,3,79,0,297000,Pave,1Fam,2,0,1
480,OldTown,2038,4,7,1937,1131,2,50,0,89471,Pave,1Fam,1,0,0
481,NridgHt,3683,9,5,2004,1850,3,98,0,326000,Pave,1Fam,2,0,1
482,NridgHt,3584,9,5,2003,1792,3,72,0,374000,Pave,1Fam,2,0,1
483,OldTown,2736,7,8,1915,1826,1,50,0,155000,Pave,1Fam,1,1,1
484,Mitchel,2432,6,5,1998,1216,2,32,0,164000,Pave,Twnhs,2,0,1
485,Sawyer,1998,5,7,1962,999,1,,0,132500,Pave,1Fam,1,0,1
486,NAmes,2226,5,7,1950,1113,1,80,0,147000,Pave,1Fam,1,0,0
487,NAmes,2146,5,7,1965,1073,2,79,0,156000,Pave,1Fam,1,1,1
488,NWAmes,2968,5,6,1971,1484,2,70,0,175000,Pave,1Fam,2,0,0
489,OldTown,3368,5,4,1900,2414,2,60,0,160000,Pave,2fmCon,2,0,0
490,MeadowV,1260,4,8,1970,630,1,21,0,86000,Pave,Twnhs,1,0,1
491,MeadowV,1568,5,6,1976,1304,1,,0,115000,Pave,TwnhsE,1,1,0
492,NAmes,2384,6,7,1941,1578,1,79,0,133000,Pave,1Fam,1,0,1
493,Gilbert,2184,6,5,2006,1456,2,105,0,172785,Pave,1Fam,2,1,0
494,NAmes,2538,5,6,1960,1269,1,70,0,155000,Pave,1Fam,1,1,0
495,OldTown,1076,5,8,1938,886,1,50,0,91300,Pave,1Fam,1,0,0
496,IDOTRR,1440,4,5,1920,720,0,60,0,34900,Pave,1Fam,1,0,0
497,NoRidge,6428,8,5,1992,3228,2,,0,430000,Pave,1Fam,3,0,1
498,BrkSide,2846,7,6,1925,1820,1,60,0,184000,Pave,1Fam,2,0,1
499,Sawyer,1763,5,7,1967,899,1,65,0,130000,Pave,1Fam,1,0,0
500,NAmes,1824,5,7,1958,912,1,70,0,120000,Pave,1Fam,1,0,0
501,BrDale,1890,6,5,1973,1218,1,21,0,113000,Pave,Twnhs,1,1,0
502,Somerst,2634,7,5,2005,1768,2,75,0,226700,Pave,1Fam,2,1,0
503,Edwards,2428,5,7,1965,1214,2,70,0,140000,Pave,1Fam,1,0,1
504,Crawfor,3302,7,8,1959,1801,2,100,0,289000,Pave,1Fam,2,0,1
505,NPkVill,2177,6,5,1974,1322,2,24,0,147000,Pave,TwnhsE,2,1,0
506,OldTown,2920,5,5,1952,1960,2,60,0,124500,Pave,Duplex,2,0,0
507,SawyerW,2688,8,5,1993,1911,2,80,0,215000,Pave,1Fam,2,1,0
508,Somerst,2436,6,5,2009,1218,2,75,0,208300,Pave,1Fam,2,0,0
509,OldTown,2067,7,9,1928,1378,2,60,0,161000,Pave,1Fam,2,0,0
510,NAmes,2082,5,6,1959,1041,1,80,0,124500,Pave,1Fam,1,0,1
511,NAmes,2371,5,7,1951,1363,1,75,0,164900,Pave,1Fam,1,0,1
512,NridgHt,2736,7,5,2005,1368,2,40,0,202665,Pave,TwnhsE,2,0,0
513,NAmes,1728,5,5,1958,864,2,70,0,129900,Pave,1Fam,1,0,1
514,Mitchel,2164,6,5,1983,1080,2,71,0,134000,Pave,1Fam,1,1,0
515,Crawfor,1557,5,5,1926,789,1,55,0,96500,Pave,1Fam,1,0,0
516,NridgHt,4026,10,5,2009,2020,3,94,0,402861,Pave,1Fam,2,1,1
517,NWAmes,2808,6,6,1972,2119,2,,0,158000,Pave,1Fam,2,1,0
518,NoRidge,3608,7,5,1996,2344,3,79,0,265000,Pave,1Fam,2,1,0
519,CollgCr,2590,6,5,1998,1796,2,,0,211000,Pave,1Fam,2,1,1
520,Crawfor,3356,7,9,1926,2080,1,53,0,234000,Pave,1Fam,1,1,0
521,OldTown,1294,4,7,1900,1294,0,60,0,106250,Pave,2fmCon,2,0,0
522,NAmes,2488,6,6,1957,1244,1,90,0,150000,Pave,1Fam,1,1,0
523,BrkSide,2668,6,7,1947,1664,2,50,0,159000,Pave,1Fam,2,0,0
524,Edwards,7814,10,5,2007,4676,3,130,0,184750,Pave,1Fam,3,1,1
525,NoRidge,3777,7,5,1996,2398,3,95,0,315750,Pave,1Fam,2,1,1
526,Somerst,2523,7,5,2005,1266,2,62,0,176000,Pave,1Fam,2,0,0
527,NAmes,1856,5,7,1956,928,1,70,0,132000,Pave,1Fam,1,0,0
528,NridgHt,4165,9,5,2008,2713,3,67,0,446261,Pave,1Fam,2,1,1
529,Edwards,1133,4,7,1920,605,0,58,0,86000,Pave,1Fam,1,0,1
530,Crawfor,4550,6,3,1957,2515,2,,0,200624,Pave,1Fam,3,0,1
531,Timber,2970,6,5,1988,1509,2,85,0,175000,Pave,1Fam,2,0,1
532,BrkSide,1973,6,8,1920,1362,2,60,0,128000,Pave,1Fam,2,0,0
533,NAmes,827,5,7,1955,827,1,60,0,107500,Pave,1Fam,1,0,0
534,BrkSide,334,1,3,1946,334,0,50,0,39300,Pave,1Fam,1,0,0
535,Gilbert,2121,8,5,2004,1414,2,74,0,178000,Pave,1Fam,2,1,0
536,Edwards,2464,5,7,1910,1347,0,70,0,107500,Pave,2fmCon,1,0,1
537,CollgCr,2604,7,5,1998,1724,2,57,0,188000,Pave,1Fam,2,1,0
538,NAmes,1728,4,5,1972,864,2,,0,111250,Pave,1Fam,1,0,0
539,Sawyer,2210,5,5,1968,1159,1,,0,158000,Pave,1Fam,1,1,0
540,CollgCr,3182,8,5,2001,1601,2,,0,272000,Pave,1Fam,2,0,1
541,Timber,3676,9,5,2006,1838,3,85,0,315000,Pave,1Fam,2,0,1
542,NoRidge,3254,8,5,2000,2285,3,,0,248000,Pave,1Fam,2,1,0
543,NWAmes,3330,7,5,1998,1680,2,78,0,213250,Pave,1Fam,2,0,1
544,NAmes,1490,7,5,1998,767,1,34,0,133000,Pave,TwnhsE,1,0,1
545,Gilbert,2150,7,5,2006,1496,2,58,0,179665,Pave,1Fam,2,1,1
546,NWAmes,3387,7,5,1988,2183,3,,0,229000,Pave,1Fam,2,1,0
547,BrkSide,2700,6,7,1923,1635,2,70,0,210000,Pave,1Fam,1,1,0
548,Mitchel,1536,5,7,1970,768,2,54,0,129500,Pave,1Fam,1,0,1
549,OldTown,1650,5,7,1955,825,2,49,0,125000,Pave,1Fam,1,0,1
550,Somerst,3006,7,5,2003,2094,2,75,0,263000,Pave,1Fam,2,1,0
551,NPkVill,2138,6,6,1977,1069,2,53,0,140000,Pave,TwnhsE,2,0,0
552,OldTown,1856,5,6,1957,928,1,50,0,112500,Pave,1Fam,1,0,0
553,NridgHt,3426,8,5,2006,1717,3,87,0,255500,Pave,1Fam,2,0,0
554,Edwards,1126,4,5,1949,1126,2,67,0,108000,Pave,1Fam,2,0,0
555,NridgHt,3044,7,5,2003,2046,3,85,0,284000,Pave,1Fam,2,1,1
556,BrkSide,2041,5,6,1922,1048,1,58,0,113000,Pave,1Fam,1,0,0
557,NAmes,2184,5,5,1957,1092,1,69,0,141000,Pave,1Fam,1,0,1
558,IDOTRR,1973,4,6,1920,1336,1,60,0,108000,Pave,1Fam,1,1,0
559,Gilbert,2175,7,5,1996,1446,2,57,0,175000,Pave,1Fam,2,1,0
560,Blmngtn,2931,7,5,2003,1557,2,,0,234000,Pave,TwnhsE,2,0,0
561,Sawyer,2784,5,6,1957,1392,2,,0,121500,Pave,1Fam,1,1,1
562,Mitchel,2778,5,5,1974,1389,2,77,0,170000,Pave,1Fam,1,0,1
563,Edwards,1992,5,6,1940,996,0,63,0,108000,Pave,1Fam,1,0,1
564,Edwards,2837,6,7,1918,1674,2,66,0,185000,Pave,1Fam,2,0,0
565,NoRidge,3390,7,5,1992,2295,2,,0,268000,Pave,1Fam,2,1,1
566,SWISU,2453,6,4,1915,1647,1,66,0,128000,Pave,1Fam,1,1,1
567,StoneBr,3626,9,5,2005,2504,3,77,0,325000,Pave,1Fam,2,1,0
568,NridgHt,3052,7,5,2004,1535,2,70,0,214000,Pave,1Fam,2,0,0
569,SawyerW,3628,8,8,1983,2132,2,79,0,316600,Pave,1Fam,1,1,1
570,NAmes,1886,5,5,1979,943,2,,0,135960,Pave,Duplex,1,0,1
571,NAmes,3456,5,5,1965,1728,2,74,0,142600,Pave,Duplex,2,0,0
572,NAmes,1728,6,6,1959,864,1,60,0,120000,Pave,1Fam,1,0,1
573,Timber,2538,7,5,2009,1692,2,83,0,224500,Pave,1Fam,2,1,0
574,Gilbert,1814,7,5,2000,1430,2,76,0,170000,Pave,1Fam,2,1,0
575,NAmes,1481,5,7,1971,1109,1,70,0,139000,Pave,1Fam,1,0,0
576,NAmes,2048,5,5,1947,1216,1,80,0,118500,Pave,1Fam,1,0,0
577,SWISU,2338,7,7,1928,1477,1,52,0,145000,Pave,1Fam,2,0,0
578,Sawyer,2484,5,6,1966,1320,2,96,0,164500,Pave,1Fam,1,0,1
579,Somerst,2081,7,5,2007,1392,2,34,0,146000,Pave,TwnhsE,2,0,0
580,OldTown,2845,5,5,1954,1795,1,81,0,131500,Pave,1Fam,2,0,0
581,NAmes,2573,6,6,1960,1429,2,,0,181900,Pave,1Fam,1,0,0
582,NridgHt,4084,8,5,2008,2042,3,98,0,253293,Pave,1Fam,2,1,0
583,Edwards,1632,6,5,1990,816,0,81,0,118500,Grvl,Duplex,1,0,1
584,OldTown,4012,10,9,1893,2775,2,75,0,325000,Pave,1Fam,3,1,0
585,BrkSide,2457,4,7,1935,1573,1,51,0,133000,Pave,1Fam,1,0,0
